Code,Occupation_Name,Nom_de_la_profession,Future_Labour_Market_Conditions,Conditions_futures_sur_le_marché_du_travail
14100,General office support workers,Employés/employées de bureau - soutien général,Balance,À équilibre
14101,Receptionists,Réceptionnistes,Balance,À équilibre
14102,Personnel clerks,Commis des services du personnel,Balance,À équilibre
14103,Court clerks and related court services occupations,Commis des services judiciaires et autres professions des services judiciaires,Balance,À équilibre
14110,Survey interviewers and statistical clerks,Intervieweurs/intervieweuses pour enquêtes et commis aux statistiques,Balance,À équilibre
14111,Data entry clerks,Commis à la saisie de données,Moderate risk of Surplus,Risque modéré de surplus
14112,Desktop publishing operators and related occupations,Opérateurs/opératrices d'équipement d'éditique et personnel assimilé,N/A,N/D
14200,Accounting and related clerks,Commis à la comptabilité et personnel assimilé,Balance,À équilibre
14201,"Banking, insurance and other financial clerks","Commis de banque, d'assurance et d'autres services financiers",Balance,À équilibre
14202,Collection clerks,Commis de recouvrement,Balance,À équilibre
14300,Library assistants and clerks,Commis et assistants/assistantes dans les bibliothèques,Balance,À équilibre
14301,"Correspondence, publication and regulatory clerks",Correspondanciers/correspondancières et commis aux publications et aux règlements,Balance,À équilibre
14400,Shippers and receivers,Expéditeurs/expéditrices et réceptionnaires,Balance,À équilibre
14401,Storekeepers and partspersons,Magasiniers/magasinières et commis aux pièces,Balance,À équilibre
14402,Production logistics workers,Travailleurs/travailleuses de la logistique de la production,Balance,À équilibre
14403,Purchasing and inventory control workers,Commis aux achats et au contrôle de l'inventaire,Balance,À équilibre
14404,Dispatchers,Répartiteurs/répartitrices,Balance,À équilibre
14405,Transportation route and crew schedulers,Horairistes de trajets et d'équipages,Balance,À équilibre
20010,Engineering managers,Directeurs/directrices des services de génie,Balance,À équilibre
20011,Architecture and science managers,Directeurs/directrices des services d'architecture et de sciences,Moderate risk of Shortage,Risque modéré de pénurie
20012,Computer and information systems managers,Gestionnaires des systèmes informatiques,Balance,À équilibre
21100,Physicists and astronomers,Physiciens/physiciennes et astronomes,N/A,N/D
21101,Chemists,Chimistes,Balance,À équilibre
21102,Geoscientists and oceanographers,Géoscientifiques et océanographes,Balance,À équilibre
21103,Meteorologists and climatologists,Météorologues et climatologues,N/A,N/D
21109,Other professional occupations in physical sciences,Autres professionnels/professionnelles des sciences physiques,Balance,À équilibre
21110,Biologists and related scientists,Biologistes et personnel scientifique assimilé,Balance,À équilibre
21111,Forestry professionals,Professionnels/professionnelles des sciences forestières,Balance,À équilibre
21112,"Agricultural representatives, consultants and specialists","Agronomes, conseillers/conseillères et spécialistes en agriculture",Balance,À équilibre
21120,Public and environmental health and safety professionals,Professionnels/professionnelles de la santé et sécurité publique et environnementale,Balance,À équilibre
21200,Architects,Architectes,Balance,À équilibre
21201,Landscape architects,Architectes paysagistes,Balance,À équilibre
21202,Urban and land use planners,Urbanistes et planificateurs/planificatrices de l'utilisation des sols,Balance,À équilibre
21203,Land surveyors,Arpenteurs-géomètres/arpenteuses-géomètres,Balance,À équilibre
21210,"Mathematicians, statisticians and actuaries","Mathématiciens/mathématiciennes, statisticiens/statisticiennes et actuaires",Balance,À équilibre
21211,Data scientists,Scientifiques de données,Balance,À équilibre
21220,Cybersecurity specialists,Spécialistes de la cybersécurité,Moderate risk of Shortage,Risque modéré de pénurie
21221,Business systems specialists,Spécialistes des systèmes commerciaux,Balance,À équilibre
21222,Information systems specialists,Spécialistes en informatique,Balance,À équilibre
21223,Database analysts and data administrators,Analystes de bases de données et administrateurs/administratrices de données,Balance,À équilibre
21230,Computer systems developers and programmers,Développeurs/développeuses et programmeurs/programmeuses de systèmes informatiques,Balance,À équilibre
21231,Software engineers and designers,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel,Balance,À équilibre
21232,Software developers and programmers,Développeurs/développeuses et programmeurs/programmeuses de logiciels,Balance,À équilibre
21233,Web designers,Concepteurs/conceptrices Web,Balance,À équilibre
21234,Web developers and programmers,Développeurs/développeuses et programmeurs/programmeuses Web,Balance,À équilibre
21300,Civil engineers,Ingénieurs civils/ingénieures civiles,Moderate risk of Shortage,Risque modéré de pénurie
21301,Mechanical engineers,Ingénieurs mécaniciens/ingénieures mécaniciennes,Moderate risk of Shortage,Risque modéré de pénurie
21310,Electrical and electronics engineers,Ingénieurs électriciens et électroniciens/ingénieures électriciennes et électroniciennes,Moderate risk of Shortage,Risque modéré de pénurie
21311,Computer engineers (except software engineers and designers),Ingénieurs informaticiens/ingénieures informaticiennes (sauf ingénieurs/ingénieures et concepteurs/conceptrices en logiciel),Balance,À équilibre
21320,Chemical engineers,Ingénieurs chimistes/ingénieures chimistes,Balance,À équilibre
21321,Industrial and manufacturing engineers,Ingénieurs/ingénieures d'industrie et de fabrication,Moderate risk of Shortage,Risque modéré de pénurie
21322,Metallurgical and materials engineers,Ingénieurs/ingénieures métallurgistes et des matériaux,N/A,N/D
21330,Mining engineers,Ingénieurs miniers/ingénieures minières,Balance,À équilibre
21331,Geological engineers,Ingénieurs/ingénieures géologiques,Moderate risk of Shortage,Risque modéré de pénurie
21332,Petroleum engineers,Ingénieurs/ingénieures de l'extraction et du raffinage du pétrole,Balance,À équilibre
21390,Aerospace engineers,Ingénieurs/ingénieures en aérospatiale,Balance,À équilibre
21399,Other professional engineers,Autres ingénieurs/ingénieures,Balance,À équilibre
22100,Chemical technologists and technicians,Technologues et techniciens/techniciennes en chimie,Balance,À équilibre
22101,Geological and mineral technologists and technicians,Technologues et techniciens/techniciennes en géologie et en minéralogie,Balance,À équilibre
22110,Biological technologists and technicians,Technologues et techniciens/techniciennes en biologie,Balance,À équilibre
22111,Agricultural and fish products inspectors,Inspecteurs/inspectrices des produits agricoles et de la pêche,Balance,À équilibre
22112,Forestry technologists and technicians,Technologues et techniciens/techniciennes en sciences forestières,Balance,À équilibre
22113,Conservation and fishery officers,Techniciens/techniciennes du milieu naturel et de la pêche,Moderate risk of Surplus,Risque modéré de surplus
22114,Landscape and horticulture technicians and specialists,Techniciens/techniciennes et spécialistes de l'aménagement paysager et de l'horticulture,Balance,À équilibre
22210,Architectural technologists and technicians,Technologues et techniciens/techniciennes en architecture,Balance,À équilibre
22211,Industrial designers,Designers industriels/designers industrielles,Balance,À équilibre
22212,Drafting technologists and technicians,Technologues et techniciens/techniciennes en dessin,Balance,À équilibre
22213,Land survey technologists and technicians,Technologues et techniciens/techniciennes en arpentage,Strong risk of Surplus,Risque important de surplus
22214,Technical occupations in geomatics and meteorology,Personnel technique en géomatique et en météorologie,Strong risk of Surplus,Risque important de surplus
22220,Computer network and web technicians,Techniciens/techniciennes de réseau informatique et Web,Balance,À équilibre
22221,User support technicians,Agents/agentes de soutien aux utilisateurs,Balance,À équilibre
22222,Information systems testing technicians,Évaluateurs/évaluatrices de systèmes informatiques,Strong risk of Surplus,Risque important de surplus
22230,Non-destructive testers and inspectors,Vérificateurs/vérificatrices et inspecteurs/inspectrices des essais non destructifs,Balance,À équilibre
22231,Engineering inspectors and regulatory officers,Inspecteurs/inspectrices d'ingénierie et officiers/officières de réglementation,Balance,À équilibre
22232,Occupational health and safety specialists,Spécialistes de l'hygiène et de la sécurité au travail,Balance,À équilibre
22233,Construction inspectors,Inspecteurs/inspectrices en construction,Balance,À équilibre
22300,Civil engineering technologists and technicians,Technologues et techniciens/techniciennes en génie civil,Moderate risk of Shortage,Risque modéré de pénurie
22301,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique,Moderate risk of Shortage,Risque modéré de pénurie
22302,Industrial engineering and manufacturing technologists and technicians,Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication,Balance,À équilibre
22303,Construction estimators,Estimateurs/estimatrices en construction,Moderate risk of Shortage,Risque modéré de pénurie
22310,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électrique et électronique,Moderate risk of Shortage,Risque modéré de pénurie
22311,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux),Balance,À équilibre
22312,Industrial instrument technicians and mechanics,Techniciens/techniciennes et mécaniciens/mécaniciennes d'instruments industriels,Balance,À équilibre
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","Mécaniciens/mécaniciennes, techniciens/techniciennes et contrôleurs/contrôleuses d'avionique et d'instruments et d'appareillages électriques d'aéronefs",Moderate risk of Shortage,Risque modéré de pénurie
30010,Managers in health care,Directeurs/directrices des soins de santé,Balance,À équilibre
31100,Specialists in clinical and laboratory medicine,Spécialistes en médecine clinique et de laboratoire,Strong risk of Shortage,Risque important de pénurie
31101,Specialists in surgery,Spécialistes en chirurgie,Strong risk of Shortage,Risque important de pénurie
31102,General practitioners and family physicians,Omnipraticiens/omnipraticiennes et médecins en médecine familiale,Strong risk of Shortage,Risque important de pénurie
31103,Veterinarians,Vétérinaires,Strong risk of Shortage,Risque important de pénurie
31110,Dentists,Dentistes,Strong risk of Shortage,Risque important de pénurie
31111,Optometrists,Optométristes,Strong risk of Shortage,Risque important de pénurie
31112,Audiologists and speech-language pathologists,Audiologistes et orthophonistes,Moderate risk of Shortage,Risque modéré de pénurie
31120,Pharmacists,Pharmaciens/pharmaciennes,Strong risk of Shortage,Risque important de pénurie
31121,Dietitians and nutritionists,Diététistes et nutritionnistes,Strong risk of Shortage,Risque important de pénurie
31200,Psychologists,Psychologues,Strong risk of Shortage,Risque important de pénurie
31201,Chiropractors,Chiropraticiens/chiropraticiennes,Moderate risk of Shortage,Risque modéré de pénurie
31202,Physiotherapists,Physiothérapeutes,Moderate risk of Shortage,Risque modéré de pénurie
31203,Occupational therapists,Ergothérapeutes,Moderate risk of Shortage,Risque modéré de pénurie
31204,Kinesiologists and other professional occupations in therapy and assessment,Kinésiologues et autres professionnels/professionnelles en thérapie et en diagnostic,Balance,À équilibre
31209,Other professional occupations in health diagnosing and treating,Autres professionnels/professionnelles en diagnostic et en traitement de la santé,Moderate risk of Shortage,Risque modéré de pénurie
31300,Nursing coordinators and supervisors,Coordonnateurs/coordonnatrices et superviseurs/superviseures des soins infirmiers,Strong risk of Shortage,Risque important de pénurie
31301,Registered nurses and registered psychiatric nurses,Infirmiers autorisés/infirmières autorisées et infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées,Strong risk of Shortage,Risque important de pénurie
31302,Nurse practitioners,Infirmiers praticiens/infirmières praticiennes,Strong risk of Shortage,Risque important de pénurie
31303,"Physician assistants, midwives and allied health professionals","Adjoints au médecin, sages-femmes et professionnels paramédicaux",Strong risk of Shortage,Risque important de pénurie
32100,Opticians,Opticiens/opticiennes d'ordonnances,Balance,À équilibre
32101,Licensed practical nurses,Infirmiers auxiliaires/infirmières auxiliaires,Strong risk of Shortage,Risque important de pénurie
32102,Paramedical occupations,Personnel ambulancier et paramédical,Strong risk of Shortage,Risque important de pénurie
32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","Inhalothérapeutes, perfusionnistes cardiovasculaires et technologues cardiopulmonaires",Strong risk of Shortage,Risque important de pénurie
32104,Animal health technologists and veterinary technicians,Technologues en santé animale et techniciens/techniciennes vétérinaires,Moderate risk of Shortage,Risque modéré de pénurie
32109,Other technical occupations in therapy and assessment,Autre personnel technique en thérapie et en diagnostic,Moderate risk of Shortage,Risque modéré de pénurie
32110,Denturists,Denturologistes,Balance,À équilibre
32111,Dental hygienists and dental therapists,Hygiénistes et thérapeutes dentaires,Strong risk of Shortage,Risque important de pénurie
32112,Dental technologists and technicians,Technologues et techniciens/techniciennes dentaires,Balance,À équilibre
32120,Medical laboratory technologists,Technologues de laboratoires médicaux,Strong risk of Shortage,Risque important de pénurie
32121,Medical radiation technologists,Technologues en radiation médicale,Strong risk of Shortage,Risque important de pénurie
32122,Medical sonographers,Technologues en échographie,Moderate risk of Shortage,Risque modéré de pénurie
32123,Cardiology technologists and electrophysiological diagnostic technologists,Technologues en cardiologie et technologues en électrophysiologie diagnostique,Strong risk of Shortage,Risque important de pénurie
32124,Pharmacy technicians,Techniciens/techniciennes en pharmacie,Moderate risk of Shortage,Risque modéré de pénurie
32129,Other medical technologists and technicians,Autres technologues et techniciens/techniciennes des sciences de la santé,Moderate risk of Shortage,Risque modéré de pénurie
32200,Traditional Chinese medicine practitioners and acupuncturists,Praticiens/praticiennes en médecine traditionnelle chinoise et acupuncteurs/acupunctrices,Balance,À équilibre
32201,Massage therapists,Massothérapeutes,Moderate risk of Shortage,Risque modéré de pénurie
32209,Other practitioners of natural healing,Autres praticiens/praticiennes des médecines douces,Balance,À équilibre
33100,Dental assistants and dental laboratory assistants,Assistants/assistantes dentaires et auxiliaires dans les laboratoires dentaires,Balance,À équilibre
33101,Medical laboratory assistants and related technical occupations,Assistants/assistantes de laboratoires médicaux et préposés/préposées techniques reliés,Strong risk of Shortage,Risque important de pénurie
33102,"Nurse aides, orderlies and patient service associates","Aides-infirmiers/aides-infirmières, aides-soignants/aides-soignantes et préposés/préposées aux bénéficiaires",Strong risk of Shortage,Risque important de pénurie
33103,Pharmacy technical assistants and pharmacy assistants,Assistants techniques/assistantes techniques en pharmacie et assistants/assistantes en pharmacie,Moderate risk of Shortage,Risque modéré de pénurie
33109,Other assisting occupations in support of health services,Autre personnel de soutien des services de santé,Balance,À équilibre
40010,Government managers - health and social policy development and program administration,Gestionnaires de la fonction publique - élaboration de politiques et administration de programmes sociaux et de santé,Balance,À équilibre
40011,"Government managers - economic analysis, policy development and program administration","Gestionnaires de la fonction publique - analyse économique, élaboration de politiques et administration de programmes",Balance,À équilibre
40012,Government managers - education policy development and program administration,Gestionnaires de la fonction publique - élaboration de politiques en matière d'éducation et administration de programmes,N/A,N/D
40019,Other managers in public administration,Autres gestionnaires de la fonction publique,Balance,À équilibre
40020,Administrators - post-secondary education and vocational training,Administrateurs/administratrices - enseignement postsecondaire et formation professionnelle,Balance,À équilibre
40021,School principals and administrators of elementary and secondary education,Directeurs/directrices d'école et administrateurs/administratrices de programmes d'enseignement aux niveaux primaire et secondaire,Balance,À équilibre
40030,"Managers in social, community and correctional services","Directeurs/directrices des services sociaux, communautaires et correctionnels",Balance,À équilibre
40040,Commissioned police officers and related occupations in public protection services,Officiers/officières de direction des services de police et professions connexes des services de la protection du public,N/A,N/D
40041,Fire chiefs and senior firefighting officers,Chefs et officiers supérieurs/officières supérieures des services d'incendie,Balance,À équilibre
40042,Commissioned officers of the Canadian Armed Forces,Officiers/officières de direction des Forces armées canadiennes,N/A,N/D
41100,Judges,Juges,Balance,À équilibre
41101,Lawyers and Quebec notaries,Avocats/avocates (partout au Canada) et notaires (au Québec),Balance,À équilibre
41200,University professors and lecturers,Professeurs/professeures et chargés/chargées de cours au niveau universitaire,Balance,À équilibre
41201,Post-secondary teaching and research assistants,Assistants/assistantes d'enseignement et de recherche au niveau postsecondaire,Balance,À équilibre
41210,College and other vocational instructors,Enseignants/enseignantes au niveau collégial et autres instructeurs/instructrices en formation professionnelle,Balance,À équilibre
41220,Secondary school teachers,Enseignants/enseignantes au niveau secondaire,Moderate risk of Shortage,Risque modéré de pénurie
41221,Elementary school and kindergarten teachers,Enseignants/enseignantes aux niveaux primaire et préscolaire,Moderate risk of Shortage,Risque modéré de pénurie
41300,Social workers,Travailleurs sociaux/travailleuses sociales,Strong risk of Shortage,Risque important de pénurie
41301,Therapists in counselling and related specialized therapies,Thérapeutes en counseling et thérapies spécialisées connexes,Moderate risk of Shortage,Risque modéré de pénurie
41302,Religious leaders,Chefs religieux,Balance,À équilibre
41310,Police investigators and other investigative occupations,Enquêteurs/enquêteuses de police et autres professions d'enquête,Balance,À équilibre
41311,Probation and parole officers,Agents/agentes de probation et de libération conditionnelle,Balance,À équilibre
41320,Educational counsellors,Conseillers/conseillères en information scolaire,Balance,À équilibre
41321,Career development practitioners and career counsellors (except education),Conseillers/conseillères en développement de carrière et conseillers/conseillères en orientation (sauf éducation),Balance,À équilibre
41400,"Natural and applied science policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes, en sciences naturelles et appliquées",Balance,À équilibre
41401,Economists and economic policy researchers and analysts,"Économistes, recherchistes et analystes des politiques économiques",Balance,À équilibre
41402,Business development officers and market researchers and analysts,Agents/agentes de développement économique et recherchistes et analystes en marketing,Balance,À équilibre
41403,"Social policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques sociales",Balance,À équilibre
41404,"Health policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de la santé",Balance,À équilibre
41405,"Education policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programmes en politiques de l'enseignement",Balance,À équilibre
41406,"Recreation, sports and fitness policy researchers, consultants and program officers","Recherchistes, experts-conseils/expertes-conseils et agents/agentes de programme en sports, en loisirs et en conditionnement physique",Balance,À équilibre
41407,Program officers unique to government,Agents/agentes de programmes propres au gouvernement,Balance,À équilibre
41409,Other professional occupations in social science,Autres professionnels/professionnelles des sciences sociales,Balance,À équilibre
42100,Police officers (except commissioned),Policiers/policières (sauf cadres supérieurs),Moderate risk of Shortage,Risque modéré de pénurie
42101,Firefighters,Pompiers/pompières,Moderate risk of Shortage,Risque modéré de pénurie
42102,Specialized members of the Canadian Armed Forces,Membres spécialisés des Forces armées canadiennes,N/A,N/D
42200,Paralegals and related occupations,Techniciens/techniciennes juridiques et personnel assimilé,Balance,À équilibre
42201,Social and community service workers,Travailleurs/travailleuses des services sociaux et communautaires,Strong risk of Shortage,Risque important de pénurie
42202,Early childhood educators and assistants,Éducateurs/éducatrices et aides-éducateurs/aides-éducatrices de la petite enfance,Strong risk of Shortage,Risque important de pénurie
42203,Instructors of persons with disabilities,Instructeurs/instructrices pour personnes ayant une déficience,Moderate risk of Shortage,Risque modéré de pénurie
42204,Religion workers,Travailleurs/travailleuses de la religion,Balance,À équilibre
43100,Elementary and secondary school teacher assistants,Aides-enseignants/aides-enseignantes aux niveaux primaire et secondaire,Moderate risk of Shortage,Risque modéré de pénurie
43109,Other instructors,Autres instructeurs/instructrices,Balance,À équilibre
43200,Sheriffs and bailiffs,Shérifs et huissiers/huissières de justice,Balance,À équilibre
43201,Correctional service officers,Agents/agentes de services correctionnels,Balance,À équilibre
43202,By-law enforcement and other regulatory officers,Agents/agentes d'application de règlements municipaux et autres agents/agentes de réglementation,Balance,À équilibre
43203,"Border services, customs, and immigration officers","Agents/agentes de services frontaliers, des douanes et de l'immigration",Balance,À équilibre
43204,Operations Members of the Canadian Armed Forces,Membres des opérations des Forces armées canadiennes,N/A,N/D
44100,Home child care providers,Gardiens/gardiennes d'enfants en milieu familial,Balance,À équilibre
44101,"Home support workers, caregivers and related occupations","Aides de maintien à domicile, aides familiaux/familiales et personnel assimilé",Strong risk of Shortage,Risque important de pénurie
44200,Primary combat members of the Canadian Armed Forces,Combattants/combattantes de première ligne des Forces armées canadiennes,N/A,N/D
45100,"Student monitors, crossing guards and related occupations","Surveillants/surveillantes d’élèves, brigadiers/brigadières et autres professions connexes",Balance,À équilibre
50010,"Library, archive, museum and art gallery managers","Directeurs/directrices de bibliothèques, des archives, de musées et de galeries d'art",Balance,À équilibre
50011,"Managers - publishing, motion pictures, broadcasting and performing arts","Directeurs/directrices - édition, cinéma, radiotélédiffusion et arts de la scène",Moderate risk of Surplus,Risque modéré de surplus
50012,"Recreation, sports and fitness program and service directors","Directeurs/directrices de programmes et de services de sports, de loisirs et de conditionnement physique",Balance,À équilibre
51100,Librarians,Bibliothécaires,Balance,À équilibre
51101,Conservators and curators,Restaurateurs/restauratrices et conservateurs/conservatrices,Balance,À équilibre
51102,Archivists,Archivistes,N/A,N/D
51110,Editors,"Réviseurs/réviseures, rédacteurs-réviseurs/rédactrices-réviseures et chefs du service des nouvelles",Balance,À équilibre
51111,Authors and writers (except technical),"Auteurs/auteures, écrivains/écrivaines et rédacteurs/rédactrices (sauf techniques)",Balance,À équilibre
51112,Technical writers,Rédacteurs/rédactrices techniques,Balance,À équilibre
51113,Journalists,Journalistes,Balance,À équilibre
51114,"Translators, terminologists and interpreters","Traducteurs/traductrices, terminologues et interprètes",Balance,À équilibre
51120,"Producers, directors, choreographers and related occupations","Producteurs/productrices, réalisateurs/réalisatrices, chorégraphes et personnel assimilé",Moderate risk of Surplus,Risque modéré de surplus
51121,"Conductors, composers and arrangers","Chefs d'orchestre, compositeurs/compositrices et arrangeurs/arrangeuses",Balance,À équilibre
51122,Musicians and singers,Musiciens/musiciennes et chanteurs/chanteuses,Balance,À équilibre
52100,Library and public archive technicians,Techniciens/techniciennes dans les bibliothèques et les services d'archives publiques,Moderate risk of Surplus,Risque modéré de surplus
52110,Film and video camera operators,Cadreurs/cadreuses de films et cadreurs/cadreuses vidéo,Balance,À équilibre
52111,Graphic arts technicians,Techniciens/techniciennes en graphisme,Balance,À équilibre
