Code,Occupation_Name,Nom_de_la_profession,Employment_emploi_2023,Employment_Growth_croissance_emploi,Retirements_retraites,Other_Replacement_autre_remplacement,Total_Job_Openings_Perspective_d'emploi,School_Leavers_Sortants_scolaires,Immigration,Other_Seekers_autres_chercheurs,Job_Seekers_Chercheurs_emploi,Recent_Labour_Market_Conditions,Future_Labour_Market_Conditions
12011,"Supervisors, finance and insurance office workers",Superviseurs/superviseures de commis de finance et d'assurance,45900,6200,12100,3100,21500,9300,5000,7800,22100,Balance,Balance
12012,"Supervisors, library, correspondence and related information workers","Superviseurs/superviseures de commis de bibliothèque, de correspondanciers et d'autres commis à l'information",3700,300,1000,200,1600,500,200,600,1200,Balance,Balance
12013,"Supervisors, supply chain, tracking and scheduling coordination occupations","Superviseurs/superviseures du personnel de coordination de la chaîne d'approvisionnement, du suivi et des horaires",81400,13500,18600,5000,37100,19700,13900,2900,36500,Balance,Balance
12100,Executive assistants,Adjoints/adjointes de direction,41500,5000,13600,2900,21600,7300,2700,11300,21200,Balance,Balance
12101,Human resources and recruitment officers,Agents/agentes des ressources humaines et de recrutement,52100,9800,5700,2700,18200,30000,10100,-19500,20600,Balance,Balance
12102,Procurement and purchasing agents and officers,Agents/agentes en approvisionnement et aux achats,80500,15600,21900,5100,42600,21700,10100,12300,44200,Balance,Balance
12103,Conference and event planners,Planificateurs/planificatrices de congrès et d'événements,28400,4900,4200,1500,10600,13500,2800,-6100,10200,Balance,Balance
12104,Employment insurance and revenue officers,Agents/agentes d'assurance-emploi et du revenu,65700,6300,13900,3700,23900,20200,4500,-300,24400,Balance,Balance
12110,"Court reporters, medical transcriptionists and related occupations","Sténographes judiciaires, transcripteurs médicaux/transcriptrices médicales et personnel assimilé",7900,1500,3700,600,5800,1700,300,3900,5900,Balance,Balance
12111,Health information management occupations,Personnel en gestion de l'information sur la santé,6000,1300,1300,400,2900,2600,300,-100,2900,Balance,Balance
12112,Records management technicians,Techniciens/techniciennes à la gestion des documents,8300,1500,2600,600,4600,2700,600,1100,4400,Balance,Balance
12113,Statistical officers and related research support occupations,Agents/agentes de statistiques et professions connexes du soutien de la recherche,6800,600,300,300,1200,1600,700,200,2500,Balance,Moderate risk of Surplus
12200,Accounting technicians and bookkeepers,Techniciens/techniciennes en comptabilité et teneurs/teneuses de livres,204400,27000,70200,15700,112900,37300,18100,56100,111500,Balance,Balance
12201,Insurance adjusters and claims examiners,Experts/expertes en sinistres et rédacteurs/rédactrices sinistres,46000,13400,8400,3300,25100,14600,3600,6900,25000,Balance,Balance
12202,Insurance underwriters,Assureurs/assureures,28100,4700,3200,1500,9300,11100,2900,-4200,9700,Balance,Balance
12203,"Assessors, business valuators and appraisers","Estimateurs/estimatrices, évaluateurs/évaluatrices d'entreprise et autres évaluateurs/évaluatrices",17200,1500,3000,1000,5500,3600,1500,400,5500,Balance,Balance
13100,Administrative officers,Agents/agentes d'administration,238500,32800,60500,14400,107800,63300,21800,12300,97400,Balance,Balance
13101,Property administrators,Agents/agentes de gestion immobilière,48200,8200,14700,3200,26100,13600,4500,8900,27000,Balance,Balance
13102,Payroll administrators,Administrateurs/administratrices de la paye,53300,9800,16400,3800,29900,13000,4600,12400,30000,Balance,Balance
13110,Administrative assistants,Adjoints administratifs/adjointes administratives,233800,20500,74700,15000,110200,50400,21000,37800,109200,Balance,Balance
13111,Legal administrative assistants,Adjoints administratifs juridiques/adjointes administratives juridiques,54900,6400,14400,3300,24100,19200,4900,1300,25300,Balance,Balance
13112,Medical administrative assistants,Adjoints administratifs médicaux/adjointes administratives médicales,84300,16300,21600,5200,43000,22500,6400,13100,41900,Balance,Balance
13200,"Customs, ship and other brokers","Courtiers/courtières en douanes, courtiers maritimes/courtières maritimes et autres courtiers/courtières",7800,800,1900,600,3400,2300,1700,-100,4000,Balance,Balance
13201,Production and transportation logistics coordinators,Coordonnateurs/coordonnatrices de la logistique de la production et du transport,33400,5200,5900,1800,12900,13000,6200,-6100,13100,Balance,Balance
14100,General office support workers,Employés/employées de bureau - soutien général,129200,-2500,34500,7500,39500,33700,11700,-8500,36900,Balance,Balance
14101,Receptionists,Réceptionnistes,144600,12900,31100,8200,52300,39500,10600,1300,51300,Balance,Balance
14102,Personnel clerks,Commis des services du personnel,12800,2100,1000,700,3800,6700,1100,-4000,3800,Balance,Balance
14103,Court clerks and related court services occupations,Commis des services judiciaires et autres professions des services judiciaires,8500,1200,2100,500,3900,3500,200,100,3700,Balance,Balance
14110,Survey interviewers and statistical clerks,Intervieweurs/intervieweuses pour enquêtes et commis aux statistiques,6200,-200,2900,500,3300,700,700,2000,3500,Balance,Balance
14111,Data entry clerks,Commis à la saisie de données,36000,700,8000,2300,10900,13000,4100,-5400,11700,Moderate signs of Surplus,Moderate risk of Surplus
14112,Desktop publishing operators and related occupations,Opérateurs/opératrices d'équipement d'éditique et personnel assimilé,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14200,Accounting and related clerks,Commis à la comptabilité et personnel assimilé,151100,11200,46600,9600,67400,38100,17500,11400,67000,Balance,Balance
14201,"Banking, insurance and other financial clerks","Commis de banque, d'assurance et d'autres services financiers",28200,1100,6100,1600,8800,8800,4600,-5200,8200,Balance,Balance
14202,Collection clerks,Commis de recouvrement,9800,100,4100,700,4900,1600,2100,1200,4900,Balance,Balance
14300,Library assistants and clerks,Commis et assistants/assistantes dans les bibliothèques,15100,900,4100,900,5900,3300,600,1800,5700,Balance,Balance
14301,"Correspondence, publication and regulatory clerks",Correspondanciers/correspondancières et commis aux publications et aux règlements,19100,2100,5100,1300,8400,7400,2100,-2200,7300,Moderate signs of Surplus,Balance
14400,Shippers and receivers,Expéditeurs/expéditrices et réceptionnaires,114600,4400,29400,7100,40800,26800,15100,0,41800,Balance,Balance
14401,Storekeepers and partspersons,Magasiniers/magasinières et commis aux pièces,21600,700,5300,1400,7300,2700,800,3000,6600,Balance,Balance
14402,Production logistics workers,Travailleurs/travailleuses de la logistique de la production,3100,200,600,200,1000,1100,800,-800,1000,Balance,Balance
14403,Purchasing and inventory control workers,Commis aux achats et au contrôle de l'inventaire,30000,2600,5800,1700,10100,8900,4200,-2800,10300,Balance,Balance
14404,Dispatchers,Répartiteurs/répartitrices,33100,4100,7100,2100,13400,11400,2900,-1200,13100,Balance,Balance
14405,Transportation route and crew schedulers,Horairistes de trajets et d'équipages,3400,100,700,200,1000,1300,800,-1000,1000,Balance,Balance
20010,Engineering managers,Directeurs/directrices des services de génie,34300,3700,10600,2200,16500,1800,5800,9300,17000,Balance,Balance
20011,Architecture and science managers,Directeurs/directrices des services d'architecture et de sciences,16300,2300,4100,1100,7400,800,2200,4400,7400,Moderate signs of Shortage,Moderate risk of Shortage
20012,Computer and information systems managers,Gestionnaires des systèmes informatiques,124200,36700,24200,7400,68300,7900,26600,46300,80800,Balance,Balance
21100,Physicists and astronomers,Physiciens/physiciennes et astronomes,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21101,Chemists,Chimistes,12100,800,3000,700,4600,5800,2900,-4100,4700,Balance,Balance
21102,Geoscientists and oceanographers,Géoscientifiques et océanographes,10000,200,2800,700,3700,3200,1600,-800,3900,Balance,Balance
21103,Meteorologists and climatologists,Météorologues et climatologues,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21109,Other professional occupations in physical sciences,Autres professionnels/professionnelles des sciences physiques,1800,0,800,100,900,600,600,-100,1000,Balance,Balance
21110,Biologists and related scientists,Biologistes et personnel scientifique assimilé,30900,2100,2900,1600,6600,15800,4000,-13100,6600,Balance,Balance
21111,Forestry professionals,Professionnels/professionnelles des sciences forestières,4200,300,700,300,1400,1100,300,100,1500,Balance,Balance
21112,"Agricultural representatives, consultants and specialists","Agronomes, conseillers/conseillères et spécialistes en agriculture",5600,800,900,400,2000,2600,300,-900,2000,Balance,Balance
21120,Public and environmental health and safety professionals,Professionnels/professionnelles de la santé et sécurité publique et environnementale,12100,1200,2200,700,4000,3300,1100,0,4500,Balance,Balance
21200,Architects,Architectes,26900,1200,4300,1800,7300,8800,4500,-5100,8200,Balance,Balance
21201,Landscape architects,Architectes paysagistes,3300,200,400,200,800,900,400,0,1200,Balance,Balance
21202,Urban and land use planners,Urbanistes et planificateurs/planificatrices de l'utilisation des sols,15600,2100,1100,900,4100,6200,1500,-1300,6500,Moderate signs of Shortage,Balance
21203,Land surveyors,Arpenteurs-géomètres/arpenteuses-géomètres,7200,0,1100,400,1500,1900,600,-1100,1400,Balance,Balance
21210,"Mathematicians, statisticians and actuaries","Mathématiciens/mathématiciennes, statisticiens/statisticiennes et actuaires",16000,2000,1700,800,4500,8500,2100,-5000,5500,Balance,Balance
21211,Data scientists,Scientifiques de données,36600,6200,1900,1900,10000,17900,5900,-11500,12300,Balance,Balance
21220,Cybersecurity specialists,Spécialistes de la cybersécurité,31800,8600,5500,1800,15900,13200,6000,-500,18700,Moderate signs of Shortage,Moderate risk of Shortage
21221,Business systems specialists,Spécialistes des systèmes commerciaux,34900,8800,8400,2000,19300,13900,14500,-7700,20800,Balance,Balance
21222,Information systems specialists,Spécialistes en informatique,229400,48600,64400,13800,126900,77300,88800,-5300,160800,Balance,Balance
21223,Database analysts and data administrators,Analystes de bases de données et administrateurs/administratrices de données,52400,13800,12600,3400,29800,27600,17200,-11200,33500,Balance,Balance
21230,Computer systems developers and programmers,Développeurs/développeuses et programmeurs/programmeuses de systèmes informatiques,45700,1600,10400,2600,14600,27000,12400,-23200,16200,Balance,Balance
21231,Software engineers and designers,Ingénieurs/ingénieures et concepteurs/conceptrices en logiciel,113100,27400,13600,5800,46900,38900,60600,-39100,60400,Balance,Balance
21232,Software developers and programmers,Développeurs/développeuses et programmeurs/programmeuses de logiciels,155700,47600,20300,8400,76300,92900,81900,-75900,98900,Balance,Balance
21233,Web designers,Concepteurs/conceptrices Web,13100,1700,1400,700,3800,5700,3200,-4600,4300,Balance,Balance
21234,Web developers and programmers,Développeurs/développeuses et programmeurs/programmeuses Web,28700,4400,2400,1500,8300,18800,7700,-18300,8200,Balance,Balance
21300,Civil engineers,Ingénieurs civils/ingénieures civiles,65600,5900,12000,3800,21800,33100,12000,-18900,26200,Moderate signs of Shortage,Moderate risk of Shortage
21301,Mechanical engineers,Ingénieurs mécaniciens/ingénieures mécaniciennes,44900,3300,6000,2700,12000,23900,10300,-20200,13900,Moderate signs of Shortage,Moderate risk of Shortage
21310,Electrical and electronics engineers,Ingénieurs électriciens et électroniciens/ingénieures électriciennes et électroniciennes,41300,4800,7700,2400,14900,18900,10500,-13400,15900,Moderate signs of Shortage,Moderate risk of Shortage
21311,Computer engineers (except software engineers and designers),Ingénieurs informaticiens/ingénieures informaticiennes (sauf ingénieurs/ingénieures et concepteurs/conceptrices en logiciel),32500,7700,5500,2200,15400,11300,9500,-4300,16400,Balance,Balance
21320,Chemical engineers,Ingénieurs chimistes/ingénieures chimistes,14100,1400,2100,800,4200,8300,2100,-5700,4700,Balance,Balance
21321,Industrial and manufacturing engineers,Ingénieurs/ingénieures d'industrie et de fabrication,20400,1800,3800,1100,6800,10400,5100,-8500,6900,Moderate signs of Shortage,Moderate risk of Shortage
21322,Metallurgical and materials engineers,Ingénieurs/ingénieures métallurgistes et des matériaux,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
21330,Mining engineers,Ingénieurs miniers/ingénieures minières,5300,300,700,400,1300,2000,800,-800,2000,Moderate signs of Shortage,Balance
21331,Geological engineers,Ingénieurs/ingénieures géologiques,3500,600,700,300,1500,2100,700,-1000,1700,Strong signs of Shortage,Moderate risk of Shortage
21332,Petroleum engineers,Ingénieurs/ingénieures de l'extraction et du raffinage du pétrole,11300,-200,1600,700,2100,2400,1600,-1100,3000,Balance,Balance
21390,Aerospace engineers,Ingénieurs/ingénieures en aérospatiale,5400,300,1600,500,2300,2300,1400,-1500,2200,Balance,Balance
21399,Other professional engineers,Autres ingénieurs/ingénieures,42900,3900,6000,2600,12400,19600,6800,-8900,17400,Balance,Balance
22100,Chemical technologists and technicians,Technologues et techniciens/techniciennes en chimie,26300,3600,5300,1700,10500,13000,4000,-4900,12100,Balance,Balance
22101,Geological and mineral technologists and technicians,Technologues et techniciens/techniciennes en géologie et en minéralogie,9100,400,1400,500,2300,3200,800,-500,3500,Balance,Balance
22110,Biological technologists and technicians,Technologues et techniciens/techniciennes en biologie,6700,-200,900,400,1000,3700,700,-3300,1200,Balance,Balance
22111,Agricultural and fish products inspectors,Inspecteurs/inspectrices des produits agricoles et de la pêche,2000,0,500,100,600,900,400,-500,700,Balance,Balance
22112,Forestry technologists and technicians,Technologues et techniciens/techniciennes en sciences forestières,6200,800,1100,400,2300,2300,200,-100,2400,Balance,Balance
22113,Conservation and fishery officers,Techniciens/techniciennes du milieu naturel et de la pêche,3200,200,600,200,1000,2000,100,-1000,1100,Moderate signs of Surplus,Moderate risk of Surplus
22114,Landscape and horticulture technicians and specialists,Techniciens/techniciennes et spécialistes de l'aménagement paysager et de l'horticulture,15100,2100,3200,1000,6400,5100,1200,-200,6100,Balance,Balance
22210,Architectural technologists and technicians,Technologues et techniciens/techniciennes en architecture,9300,700,1300,500,2600,4700,2200,-4600,2300,Balance,Balance
22211,Industrial designers,Designers industriels/designers industrielles,10000,800,1500,600,2900,3500,2400,-3200,2700,Balance,Balance
22212,Drafting technologists and technicians,Technologues et techniciens/techniciennes en dessin,37700,1400,5400,2200,9000,12600,4600,-5400,11800,Moderate signs of Shortage,Balance
22213,Land survey technologists and technicians,Technologues et techniciens/techniciennes en arpentage,7400,300,700,400,1400,3300,300,-200,3500,Balance,Strong risk of Surplus
22214,Technical occupations in geomatics and meteorology,Personnel technique en géomatique et en météorologie,8700,0,900,500,1400,3700,600,-200,4100,Balance,Strong risk of Surplus
22220,Computer network and web technicians,Techniciens/techniciennes de réseau informatique et Web,40800,1600,9700,2200,13600,10500,9700,-7100,13100,Balance,Balance
22221,User support technicians,Agents/agentes de soutien aux utilisateurs,119200,25100,21000,6400,52600,51900,29900,-29400,52300,Balance,Balance
22222,Information systems testing technicians,Évaluateurs/évaluatrices de systèmes informatiques,20000,3100,1400,1000,5600,10800,6400,-3200,14000,Balance,Strong risk of Surplus
22230,Non-destructive testers and inspectors,Vérificateurs/vérificatrices et inspecteurs/inspectrices des essais non destructifs,4800,-200,1500,400,1600,1600,500,-200,1900,Balance,Balance
22231,Engineering inspectors and regulatory officers,Inspecteurs/inspectrices d'ingénierie et officiers/officières de réglementation,7100,800,1900,400,3200,1800,1000,-100,2600,Balance,Balance
22232,Occupational health and safety specialists,Spécialistes de l'hygiène et de la sécurité au travail,33400,6400,8700,2200,17300,8800,2300,7200,18400,Balance,Balance
22233,Construction inspectors,Inspecteurs/inspectrices en construction,25700,4700,6800,1500,13000,5700,1100,6000,12800,Balance,Balance
22300,Civil engineering technologists and technicians,Technologues et techniciens/techniciennes en génie civil,27400,2100,3800,1400,7300,11400,2600,-6100,8000,Moderate signs of Shortage,Moderate risk of Shortage
22301,Mechanical engineering technologists and technicians,Technologues et techniciens/techniciennes en génie mécanique,21900,2700,4300,1300,8300,7600,2900,-1900,8700,Moderate signs of Shortage,Moderate risk of Shortage
22302,Industrial engineering and manufacturing technologists and technicians,Technologues et techniciens/techniciennes en génie industriel et en génie de fabrication,22400,3000,4700,1300,9000,8200,3900,-3700,8400,Balance,Balance
22303,Construction estimators,Estimateurs/estimatrices en construction,22900,6100,5100,1500,12600,5800,2600,4800,13200,Moderate signs of Shortage,Moderate risk of Shortage
22310,Electrical and electronics engineering technologists and technicians,Technologues et techniciens/techniciennes en génie électrique et électronique,28500,2600,8300,1800,12800,11000,3400,-1600,12800,Moderate signs of Shortage,Moderate risk of Shortage
22311,Electronic service technicians (household and business equipment),Électroniciens/électroniciennes d'entretien (biens domestiques et commerciaux),44600,4000,12100,3100,19200,11800,5400,1800,19000,Balance,Balance
22312,Industrial instrument technicians and mechanics,Techniciens/techniciennes et mécaniciens/mécaniciennes d'instruments industriels,12100,1400,1100,600,3100,3600,200,-700,3100,Balance,Balance
22313,"Aircraft instrument, electrical and avionics mechanics, technicians and inspectors","Mécaniciens/mécaniciennes, techniciens/techniciennes et contrôleurs/contrôleuses d'avionique et d'instruments et d'appareillages électriques d'aéronefs",3500,200,1000,300,1600,1400,300,100,1800,Strong signs of Shortage,Moderate risk of Shortage
30010,Managers in health care,Directeurs/directrices des soins de santé,43600,13600,10700,2700,27000,2000,2900,22600,27500,Balance,Balance
31100,Specialists in clinical and laboratory medicine,Spécialistes en médecine clinique et de laboratoire,34000,8200,7300,2500,18000,9600,4200,-100,13700,Strong signs of Shortage,Strong risk of Shortage
31101,Specialists in surgery,Spécialistes en chirurgie,10500,2600,2100,700,5400,3000,1000,900,4900,Strong signs of Shortage,Strong risk of Shortage
31102,General practitioners and family physicians,Omnipraticiens/omnipraticiennes et médecins en médecine familiale,76000,27000,15700,5200,47800,21000,7100,-2400,25800,Strong signs of Shortage,Strong risk of Shortage
31103,Veterinarians,Vétérinaires,12600,3000,2600,900,6500,5700,1000,1000,7600,Strong signs of Shortage,Strong risk of Shortage
31110,Dentists,Dentistes,21400,6200,7400,1500,15000,6800,2300,-600,8500,Strong signs of Shortage,Strong risk of Shortage
31111,Optometrists,Optométristes,6400,1800,2500,500,4800,4800,200,-300,4800,Strong signs of Shortage,Strong risk of Shortage
31112,Audiologists and speech-language pathologists,Audiologistes et orthophonistes,18300,4400,2900,1000,8400,10000,700,-200,10500,Strong signs of Shortage,Moderate risk of Shortage
31120,Pharmacists,Pharmaciens/pharmaciennes,47700,12000,8100,2900,23000,16500,6300,1600,24400,Strong signs of Shortage,Strong risk of Shortage
31121,Dietitians and nutritionists,Diététistes et nutritionnistes,12300,2900,2300,800,6000,6300,600,-800,6200,Strong signs of Shortage,Strong risk of Shortage
31200,Psychologists,Psychologues,24900,5900,6400,1900,14200,8500,1400,4900,14700,Strong signs of Shortage,Strong risk of Shortage
31201,Chiropractors,Chiropraticiens/chiropraticiennes,9800,2800,1600,700,5100,4200,200,-200,4200,Moderate signs of Shortage,Moderate risk of Shortage
31202,Physiotherapists,Physiothérapeutes,38300,13000,3400,2300,18700,19500,4200,-3500,20200,Strong signs of Shortage,Moderate risk of Shortage
31203,Occupational therapists,Ergothérapeutes,22700,7000,1700,1300,10000,14300,800,-4600,10400,Strong signs of Shortage,Moderate risk of Shortage
31204,Kinesiologists and other professional occupations in therapy and assessment,Kinésiologues et autres professionnels/professionnelles en thérapie et en diagnostic,9400,2500,1200,500,4300,5600,500,-1600,4400,Moderate signs of Shortage,Balance
31209,Other professional occupations in health diagnosing and treating,Autres professionnels/professionnelles en diagnostic et en traitement de la santé,8700,2500,1400,600,4600,3200,500,800,4500,Moderate signs of Shortage,Moderate risk of Shortage
31300,Nursing coordinators and supervisors,Coordonnateurs/coordonnatrices et superviseurs/superviseures des soins infirmiers,28000,8800,7100,1700,17600,8100,1700,7100,16800,Strong signs of Shortage,Strong risk of Shortage
31301,Registered nurses and registered psychiatric nurses,Infirmiers autorisés/infirmières autorisées et infirmiers psychiatriques autorisés/infirmières psychiatriques autorisées,363100,97700,62000,20000,179800,155300,21700,-17500,159500,Strong signs of Shortage,Strong risk of Shortage
31302,Nurse practitioners,Infirmiers praticiens/infirmières praticiennes,5600,1900,1100,400,3400,2300,300,800,3400,Strong signs of Shortage,Strong risk of Shortage
31303,"Physician assistants, midwives and allied health professionals","Adjoints au médecin, sages-femmes et professionnels paramédicaux",6400,1500,700,400,2500,3600,600,-1700,2500,Strong signs of Shortage,Strong risk of Shortage
32100,Opticians,Opticiens/opticiennes d'ordonnances,11700,2900,2400,700,6100,3800,1100,1400,6300,Balance,Balance
32101,Licensed practical nurses,Infirmiers auxiliaires/infirmières auxiliaires,62600,14200,10200,3600,27900,30800,6700,-9700,27800,Strong signs of Shortage,Strong risk of Shortage
32102,Paramedical occupations,Personnel ambulancier et paramédical,40700,14600,4100,2200,20900,22600,600,-1900,21300,Strong signs of Shortage,Strong risk of Shortage
32103,"Respiratory therapists, clinical perfusionists and cardiopulmonary technologists","Inhalothérapeutes, perfusionnistes cardiovasculaires et technologues cardiopulmonaires",13400,2700,1500,700,4900,6200,400,-400,6200,Strong signs of Shortage,Strong risk of Shortage
32104,Animal health technologists and veterinary technicians,Technologues en santé animale et techniciens/techniciennes vétérinaires,25800,6300,1000,1100,8400,13700,1600,-3200,12100,Strong signs of Shortage,Moderate risk of Shortage
32109,Other technical occupations in therapy and assessment,Autre personnel technique en thérapie et en diagnostic,20600,6900,3200,1200,11300,10500,3500,-1900,12000,Strong signs of Shortage,Moderate risk of Shortage
